instructions_id,enabled,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address,abi_pair
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x38ed1739:0xeb4c2781_0x2260fac5,TRUE,,,,,,./abis/uniswap_v2_router.json,renBTC,WBTC,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,renBTCWBTC./abis/uniswap_v2_router.json
0x48b04d2a05b6b604d8d5223fd1984f191ded51af+0x95b68fe7-0x48b04d2a05b6b604d8d5223fd1984f191ded51af+0x95e3c50b:0x1985365e_0xeeeeeeee,TRUE,,,,,,./abis/uniswap_v1.json,REP,ETH,0x48b04d2a05b6b604d8d5223fd1984f191ded51af,REPETH./abis/uniswap_v1.json
0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x144a2752-0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x0621b4f6:0x1985365e_0x6b175474,TRUE,,,,,,./abis/0x794e6e91555438afc3ccf1c5076a74f42133d08d.json,REP,DAI,0x794e6e91555438afc3ccf1c5076a74f42133d08d,REPDAI./abis/0x794e6e91555438afc3ccf1c5076a74f42133d08d.json
0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x144a2752-0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x0621b4f6:0x1985365e_0xc02aaa39,TRUE,,,,,,./abis/0x794e6e91555438afc3ccf1c5076a74f42133d08d.json,REP,WETH,0x794e6e91555438afc3ccf1c5076a74f42133d08d,REPWETH./abis/0x794e6e91555438afc3ccf1c5076a74f42133d08d.json
0xd24d398494592dd131faf131032b0db540010df7+0x7f2b0c09-0x4c9207e26c1036c41a4d080d69b9f61300ced7ce+0x8201aa3f:0x1985365e_0xc02aaa39,TRUE,,,,,,./abis/balancer_pool.json,REP,WETH,0x4c9207e26c1036c41a4d080d69b9f61300ced7ce,REPWETH./abis/balancer_pool.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x38ed1739:0x1985365e_0xc02aaa39,TRUE,,,,,,./abis/uniswap_v2_router.json,REP,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,REPWETH./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0x1985365e_0xc02aaa39,TRUE,,,,,,./abis/uniswap_v2_router.json,REP,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,REPWETH./abis/uniswap_v2_router.json
0x3fb2f18065926ddb33e7571475c509541d15da0e+0x95b68fe7-0x3fb2f18065926ddb33e7571475c509541d15da0e+0x95e3c50b:0xb4efd85c_0xeeeeeeee,TRUE,,,,,,./abis/uniswap_v1.json,RPL,ETH,0x3fb2f18065926ddb33e7571475c509541d15da0e,RPLETH./abis/uniswap_v1.json
0x09cabec1ead1c0ba254b09efb3ee13841712be14+0x95b68fe7-0x09cabec1ead1c0ba254b09efb3ee13841712be14+0x95e3c50b:0x89d24a6b_0xeeeeeeee,TRUE,,,,,,./abis/uniswap_v1.json,SAI,ETH,0x09cabec1ead1c0ba254b09efb3ee13841712be14,SAIETH./abis/uniswap_v1.json
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714+0x5e0d443f-0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714+0x3df02124:0xfe18be6b_0xeb4c2781,TRUE,,,,,,./abis/curve.json,sBTC,renBTC,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,sBTCrenBTC./abis/curve.json
