instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,query_contract_address,contract_address,,no
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x51491077,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,LINK,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,738
0x121835e15703a1a7bab32626d0927d60f90a81d7+0x7f2b0c09-0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f+0x38ed1739:0xc02aaa39_0x51491077,FALSE,FALSE,,,,,,./abis/sushiswap_router.json,WETH,LINK,0x121835e15703a1a7bab32626d0927d60f90a81d7,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,,739
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x3e9bc21c,TRUE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,LINA,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,740
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x4304ae5fd14cec2299caee4e9a4afbedd046d612+0x8201aa3f:0xc02aaa39_0x80fb784b,TRUE,FALSE,182,182,48,0,0,./abis/balancer_pool.json,WETH,LEND,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x4304ae5fd14cec2299caee4e9a4afbedd046d612,,741
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x80fb784b,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,LEND,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,742
0x121835e15703a1a7bab32626d0927d60f90a81d7+0x7f2b0c09-0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f+0x38ed1739:0xc02aaa39_0x80fb784b,FALSE,FALSE,,,,,,./abis/sushiswap_router.json,WETH,LEND,0x121835e15703a1a7bab32626d0927d60f90a81d7,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,,743
0xf30fe24b5610e47c9696ed47fc08442f79ada764+0x144a2752-0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x0621b4f6:0xc02aaa39_0xdd974d5c,TRUE,FALSE,,,,,,./abis/oasis.json,WETH,KNC,0xf30fe24b5610e47c9696ed47fc08442f79ada764,0x794e6e91555438afc3ccf1c5076a74f42133d08d,,744
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x172bf7381a344453184f62a82c4aa78cec56cc2b+0x8201aa3f:0xc02aaa39_0xdd974d5c,TRUE,FALSE,,,,,,./abis/balancer_pool.json,WETH,KNC,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x172bf7381a344453184f62a82c4aa78cec56cc2b,,745
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0xdd974d5c,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,KNC,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,746
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x1e18821e,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,KIMCHI,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,747
