instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address
0x804876A3787c0D05a06A0B4082628daC481F1889+0x7ee4cbd9-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2+0xd0e30db0:0xeeeeeeee_0xc02aaa39,true,false,31,31,15,15,0,./abis/weth.json,ETH,WETH,0x804876A3787c0D05a06A0B4082628daC481F1889
0xf506828b166de88ca2edb2a98d960abba0d2402a+0x95b68fe7-0xf506828b166de88ca2edb2a98d960abba0d2402a+0x95e3c50b:0x93ed3fbe_0xeeeeeeee,true,false,31,31,15,15,0,./abis/uniswap_v1.json,PNK,ETH,0xf506828b166de88ca2edb2a98d960abba0d2402a
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x9762c600a39bda3359f50a1fb1f90945cead379d+0x8201aa3f:0xc02aaa39_0x93ed3fbe,true,false,31,31,15,15,0,./abis/balancer_pool.json,WETH,PNK,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a
0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0xcd7724c3-0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0xf39b5b9b:0xeeeeeeee_0x6b175474,true,false,5,5,1,1,0,./abis/uniswap_v1.json,ETH,DAI,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667
0x97dec872013f6b5fb443861090ad931542878126+0x95b68fe7-0x97dec872013f6b5fb443861090ad931542878126+0x95e3c50b:0xa0b86991_0xeeeeeeee,true,false,4,4,0,0,0,./abis/uniswap_v1.json,USDC,ETH,0x97dec872013f6b5fb443861090ad931542878126
0x804876A3787c0D05a06A0B4082628daC481F1889+0x95437848-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2+0x2e1a7d4d:0xc02aaa39_0xeeeeeeee,true,false,2,2,1,1,0,./abis/weth.json,WETH,ETH,0x804876A3787c0D05a06A0B4082628daC481F1889
0x3377790759732282873957d06202d6525816e362+0xf5b06bd6-0xa5407eae9ba41422680e2e00537571bcc53efbfd+0xa6417ed6:0x6b175474_0xa0b86991,true,false,2,2,0,0,0,./abis/curve.json,DAI,USDC,0x3377790759732282873957d06202d6525816e362
0x58045595e4D6a5711f46633fcCC12efE2fAE244e+0xf5b06bd6-0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51+0xa6417ed6:0x6b175474_0xa0b86991,true,false,2,2,0,0,0,./abis/curve.json,DAI,USDC,0x58045595e4D6a5711f46633fcCC12efE2fAE244e
0x97dec872013f6b5fb443861090ad931542878126+0xcd7724c3-0x97dec872013f6b5fb443861090ad931542878126+0xf39b5b9b:0xeeeeeeee_0xa0b86991,true,false,2,2,0,0,0,./abis/uniswap_v1.json,ETH,USDC,0x97dec872013f6b5fb443861090ad931542878126
0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0x95b68fe7-0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0x95e3c50b:0x6b175474_0xeeeeeeee,true,false,1,1,0,0,0,./abis/uniswap_v1.json,DAI,ETH,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x9b208194acc0a8ccb2a8dcafeacfbb7dcc093f81+0x8201aa3f:0x6b175474_0xc02aaa39,true,false,1,1,1,1,0,./abis/balancer_pool.json,DAI,WETH,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x57755f7dec33320bca83159c26e93751bfd30fbe+0x8201aa3f:0xa0b86991_0x6b175474,true,false,1,1,0,0,0,./abis/balancer_pool.json,USDC,DAI,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x9b208194acc0a8ccb2a8dcafeacfbb7dcc093f81+0x8201aa3f:0xa0b86991_0xc02aaa39,true,false,1,1,0,0,0,./abis/balancer_pool.json,USDC,WETH,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0x00000000_0x6b175474,false,false,,,,,,./abis/mStable.json,TUSD,DAI,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0x6b175474_0xa0b86991,false,false,,,,,,./abis/mStable.json,DAI,USDC,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0x6b175474_0x00000000,false,false,,,,,,./abis/mStable.json,DAI,TUSD,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0xdac17f95_0x00000000,false,false,,,,,,./abis/mStable.json,USDT,TUSD,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0x00000000_0xa0b86991,false,false,,,,,,./abis/mStable.json,TUSD,USDC,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0x00000000_0xdac17f95,false,false,,,,,,./abis/mStable.json,TUSD,USDT,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0xa0b86991_0xdac17f95,false,false,,,,,,./abis/mStable.json,USDC,USDT,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0xdac17f95_0xa0b86991,false,false,,,,,,./abis/mStable.json,USDT,USDC,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0x6b175474_0xdac17f95,false,false,,,,,,./abis/mStable.json,DAI,USDT,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0xa0b86991_0x00000000,false,false,,,,,,./abis/mStable.json,USDC,TUSD,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x88d2557a4933a3ac821dbfb42357fc8c55464fd2+0x32ffe442-0xe2f2a5c287993345a840db3b0845fbc70f5935a5+0x6e81221c:0xa0b86991_0x6b175474,false,false,,,,,,./abis/mStable.json,USDC,DAI,0x88d2557a4933a3ac821dbfb42357fc8c55464fd2
0x61bb2fda13600c497272a8dd029313afdb125fd3+0x1e1401f8-0x61bb2fda13600c497272a8dd029313afdb125fd3+0xd5bcb9b5:0xa0b86991_0xeeeeeeee,false,false,,,,,,./abis/mooniswap.json,USDC,ETH,0x61bb2fda13600c497272a8dd029313afdb125fd3
0x03dfd032c9f7bff5517c9307da100e738dfad75b+0x1e1401f8-0x03dfd032c9f7bff5517c9307da100e738dfad75b+0xd5bcb9b5:0xd533a949_0xeeeeeeee,false,false,,,,,,./abis/mooniswap.json,CRV,ETH,0x03dfd032c9f7bff5517c9307da100e738dfad75b
0x727ec29ef1c78f93829d886474d8eb58c1450f80+0x1e1401f8-0x727ec29ef1c78f93829d886474d8eb58c1450f80+0xd5bcb9b5:0xa0b86991_0x0d438f3b,false,false,,,,,,./abis/mooniswap.json,USDC,wNXM,0x727ec29ef1c78f93829d886474d8eb58c1450f80
0xd1f905114005ec02585b0ba22a691344c6289d3e+0x1e1401f8-0xd1f905114005ec02585b0ba22a691344c6289d3e+0xd5bcb9b5:0xeeeeeeee_0xfe18be6b,false,false,,,,,,./abis/mooniswap.json,ETH,sBTC,0xd1f905114005ec02585b0ba22a691344c6289d3e
0x16ce81cfc20ce5ae4ab57a012e29ac067deed501+0x1e1401f8-0x16ce81cfc20ce5ae4ab57a012e29ac067deed501+0xd5bcb9b5:0xeeeeeeee_0xd46ba6d9,false,false,,,,,,./abis/mooniswap.json,ETH,AMPL,0x16ce81cfc20ce5ae4ab57a012e29ac067deed501
0x2d5786b5cf47627f5c58e2026b80d7d56a296cea+0x1e1401f8-0x2d5786b5cf47627f5c58e2026b80d7d56a296cea+0xd5bcb9b5:0x6b175474_0x57ab1ec2,false,false,,,,,,./abis/mooniswap.json,DAI,sUSD,0x2d5786b5cf47627f5c58e2026b80d7d56a296cea
0x727ec29ef1c78f93829d886474d8eb58c1450f80+0x1e1401f8-0x727ec29ef1c78f93829d886474d8eb58c1450f80+0xd5bcb9b5:0x0d438f3b_0xa0b86991,false,false,,,,,,./abis/mooniswap.json,wNXM,USDC,0x727ec29ef1c78f93829d886474d8eb58c1450f80
0x0e8f25fd45eee90733c46853bcc8b05494e10573+0x1e1401f8-0x0e8f25fd45eee90733c46853bcc8b05494e10573+0xd5bcb9b5:0xdf5e0e81_0x6b175474,false,false,,,,,,./abis/mooniswap.json,yDAI+yUSDC+yUSDT+yTUSD,DAI,0x0e8f25fd45eee90733c46853bcc8b05494e10573
0xed2c5bac5baedb7a59f8711659294ae3eef656e5+0x1e1401f8-0xed2c5bac5baedb7a59f8711659294ae3eef656e5+0xd5bcb9b5:0xeeeeeeee_0x0bc529c0,false,false,,,,,,./abis/mooniswap.json,ETH,YFI,0xed2c5bac5baedb7a59f8711659294ae3eef656e5
0x4c84763c29ee86846f7b4e9cb8ea7884bbd405d5+0x1e1401f8-0x4c84763c29ee86846f7b4e9cb8ea7884bbd405d5+0xd5bcb9b5:0xeb4c2781_0xeeeeeeee,false,false,,,,,,./abis/mooniswap.json,renBTC,ETH,0x4c84763c29ee86846f7b4e9cb8ea7884bbd405d5
0xd0a38cb0a67fa4ea83cac1f441e5aedfa9ba1155+0x1e1401f8-0xd0a38cb0a67fa4ea83cac1f441e5aedfa9ba1155+0xd5bcb9b5:0x51491077_0xd46ba6d9,false,false,,,,,,./abis/mooniswap.json,LINK,AMPL,0xd0a38cb0a67fa4ea83cac1f441e5aedfa9ba1155
0xed2c5bac5baedb7a59f8711659294ae3eef656e5+0x1e1401f8-0xed2c5bac5baedb7a59f8711659294ae3eef656e5+0xd5bcb9b5:0x0bc529c0_0xeeeeeeee,false,false,,,,,,./abis/mooniswap.json,YFI,ETH,0xed2c5bac5baedb7a59f8711659294ae3eef656e5
0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc+0x1e1401f8-0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc+0xd5bcb9b5:0xeeeeeeee_0xdac17f95,false,false,,,,,,./abis/mooniswap.json,ETH,USDT,0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc
0x8c412a045dd7546f7f44fec5fcaf1f38ca10e66b+0x1e1401f8-0x8c412a045dd7546f7f44fec5fcaf1f38ca10e66b+0xd5bcb9b5:0xa0b86991_0xdac17f95,false,false,,,,,,./abis/mooniswap.json,USDC,USDT,0x8c412a045dd7546f7f44fec5fcaf1f38ca10e66b
0x33440a6139a550cd68ba21cdafa3241f10041d26+0x1e1401f8-0x33440a6139a550cd68ba21cdafa3241f10041d26+0xd5bcb9b5:0x476c5e26_0xeeeeeeee,false,false,,,,,,./abis/mooniswap.json,SRM,ETH,0x33440a6139a550cd68ba21cdafa3241f10041d26
0xfd23a010312c48357ef72ba64affa01278ffc898+0x1e1401f8-0xfd23a010312c48357ef72ba64affa01278ffc898+0xd5bcb9b5:0x00000000_0xa0b86991,false,false,,,,,,./abis/mooniswap.json,TUSD,USDC,0xfd23a010312c48357ef72ba64affa01278ffc898
0x3863fc8c1cc59f160280f5d3e4c1a4c63f945ce3+0x1e1401f8-0x3863fc8c1cc59f160280f5d3e4c1a4c63f945ce3+0xd5bcb9b5:0x80fb784b_0xeeeeeeee,false,false,,,,,,./abis/mooniswap.json,LEND,ETH,0x3863fc8c1cc59f160280f5d3e4c1a4c63f945ce3
0x3a5e247d1b931347ef6e75a11b28bc5bfb4f608e+0x1e1401f8-0x3a5e247d1b931347ef6e75a11b28bc5bfb4f608e+0xd5bcb9b5:0xeeeeeeee_0x9f8f72aa,false,false,,,,,,./abis/mooniswap.json,ETH,MKR,0x3a5e247d1b931347ef6e75a11b28bc5bfb4f608e
0xd1f905114005ec02585b0ba22a691344c6289d3e+0x1e1401f8-0xd1f905114005ec02585b0ba22a691344c6289d3e+0xd5bcb9b5:0xfe18be6b_0xeeeeeeee,false,false,,,,,,./abis/mooniswap.json,sBTC,ETH,0xd1f905114005ec02585b0ba22a691344c6289d3e
0xb5ffd0a221fc94de9255382e70ce1aec76b68c89+0x1e1401f8-0xb5ffd0a221fc94de9255382e70ce1aec76b68c89+0xd5bcb9b5:0xeeeeeeee_0x0ae05509,false,false,,,,,,./abis/mooniswap.json,ETH,STAKE,0xb5ffd0a221fc94de9255382e70ce1aec76b68c89
0x2d5786b5cf47627f5c58e2026b80d7d56a296cea+0x1e1401f8-0x2d5786b5cf47627f5c58e2026b80d7d56a296cea+0xd5bcb9b5:0x57ab1ec2_0x6b175474,false,false,,,,,,./abis/mooniswap.json,sUSD,DAI,0x2d5786b5cf47627f5c58e2026b80d7d56a296cea
0x322a1e2e18fffc8d19948581897b2c49b3455240+0x1e1401f8-0x322a1e2e18fffc8d19948581897b2c49b3455240+0xd5bcb9b5:0xeeeeeeee_0x2260fac5,false,false,,,,,,./abis/mooniswap.json,ETH,WBTC,0x322a1e2e18fffc8d19948581897b2c49b3455240
