instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0xd533a949,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,CRV,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0xeb4c2781,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,renBTC,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0xd46ba6d9,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,AMPL,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0xba100000,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,BAL,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0x9cb2f26a,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,DZAR,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0x39aa39c0,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,cUSDC,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0xa3bed4e1,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,MTA,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0x0d8775f6,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,BAT,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0x22165777,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,REPv2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x7ff36ab5:0xeeeeeeee_0x0e2298e3,true,false,,,,,,./abis/uniswap_v2_router.json,ETH,YAM,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xe969991ce475bcf817e01e1aad4687da7e1d6f83+0x8201aa3f:0xc02aaa39_0xa0b86991,true,false,,,,,,./abis/balancer_pool.json,WETH,USDC,0xe969991ce475bcf817e01e1aad4687da7e1d6f83
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x68198e4ed6975204b3467dc217166d9ff1cbb57a+0x8201aa3f:0xc02aaa39_0x8a9c67fe,true,false,,,,,,./abis/balancer_pool.json,WETH,JRT,0x68198e4ed6975204b3467dc217166d9ff1cbb57a
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc02aaa39_0x57ab1ec2,true,false,,,,,,./abis/balancer_pool.json,WETH,sUSD,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x6b175474_0xa0b86991,true,false,,,,,,./abis/balancer_pool.json,DAI,USDC,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x72cd8f4504941bf8c5a21d1fd83a96499fd71d2c+0x8201aa3f:0xa0b86991_0xe2f2a5c2,true,false,,,,,,./abis/balancer_pool.json,USDC,mUSD,0x72cd8f4504941bf8c5a21d1fd83a96499fd71d2c
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x88daa4e6c2525b126c977c7d0da86710d93ed1b2+0x8201aa3f:0x57ab1ec2_0x80fb784b,true,false,,,,,,./abis/balancer_pool.json,sUSD,LEND,0x88daa4e6c2525b126c977c7d0da86710d93ed1b2
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc55458d09ae7b98f23c8d1b977e4ab003b8a3800+0x8201aa3f:0xc02aaa39_0x0d438f3b,true,false,,,,,,./abis/balancer_pool.json,WETH,wNXM,0xc55458d09ae7b98f23c8d1b977e4ab003b8a3800
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xa0b86991_0x6b175474,true,false,,,,,,./abis/balancer_pool.json,USDC,DAI,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xe036cce08cf4e23d33bc6b18e53caf532afa8513+0x8201aa3f:0xc02aaa39_0xe2f2a5c2,true,false,,,,,,./abis/balancer_pool.json,WETH,mUSD,0xe036cce08cf4e23d33bc6b18e53caf532afa8513
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x4019ba88158daa468a063ac48171a3bfe8cd9f3b+0x8201aa3f:0xe2f2a5c2_0xa3bed4e1,true,false,,,,,,./abis/balancer_pool.json,mUSD,MTA,0x4019ba88158daa468a063ac48171a3bfe8cd9f3b
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x01d7e6a79f6e6dc6f0884743078f76ac1239520a+0x8201aa3f:0x8a9c67fe_0xa0b86991,true,false,,,,,,./abis/balancer_pool.json,JRT,USDC,0x01d7e6a79f6e6dc6f0884743078f76ac1239520a
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x57ab1ec2_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,sUSD,WETH,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x6b175474_0x57ab1ec2,true,false,,,,,,./abis/balancer_pool.json,DAI,sUSD,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x57ab1ec2_0xa0b86991,true,false,,,,,,./abis/balancer_pool.json,sUSD,USDC,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xe969991ce475bcf817e01e1aad4687da7e1d6f83+0x8201aa3f:0xa0b86991_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,USDC,WETH,0xe969991ce475bcf817e01e1aad4687da7e1d6f83
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x5aec4cff7fc3880ade1582e5e37cf89152e70ace+0x8201aa3f:0xc02aaa39_0x408e4187,true,false,,,,,,./abis/balancer_pool.json,WETH,REN,0x5aec4cff7fc3880ade1582e5e37cf89152e70ace
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xb1f9ec02480dd9e16053b010dfc6e6c4b72ecad5+0x8201aa3f:0xc02aaa39_0x04fa0d23,true,false,,,,,,./abis/balancer_pool.json,WETH,UMA,0xb1f9ec02480dd9e16053b010dfc6e6c4b72ecad5
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x003a70265a3662342010823bea15dc84c6f7ed54+0x8201aa3f:0xa3bed4e1_0xe2f2a5c2,true,false,,,,,,./abis/balancer_pool.json,MTA,mUSD,0x003a70265a3662342010823bea15dc84c6f7ed54
