pool1Name,pool1Address,pool2Name,pool2Address,tokens,added,reverse
usdtweth_crypto,0x74c99f3f5331676f6aec2756e1f39b4fc029a83e,usdtweth_uniswap,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,USDT,True,False
usdtweth_crypto,0x74c99f3f5331676f6aec2756e1f39b4fc029a83e,usdtweth_sushiswap,0x06da0fd433c1a5d7a4faa01111c044910a184553,USDT,True,False
usdtweth_sushiswap,0x06da0fd433c1a5d7a4faa01111c044910a184553,usdtweth_uniswap,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,USDT,True,False
aaveweth_crypto,0x9909d09656fce21d1904f662b99382b887a9c5da,aaveweth_uniswap,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,AAVE,True,False
renweth_crypto,0x29c100633da99703a75d1a4799efc94112509d6a,renweth_uniswap,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,REN,True,False
renweth_crypto,0x29c100633da99703a75d1a4799efc94112509d6a,renweth_sushiswap,0x611cde65dea90918c0078ac0400a72b0d25b9bb1,REN,True,False
renweth_uniswap,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,renweth_sushiswap,0x611cde65dea90918c0078ac0400a72b0d25b9bb1,REN,True,False
yyDAI+yUSDC+yUSDT+yTUSD-WETH_uniswap,0x9346c20186d1794101b8517177a1b15c49c9ff9b,yyDAI+yUSDC+yUSDT+yTUSD-WETH_sushiswap,0x382c4a5147fd4090f7be3a9ff398f95638f5d39e,yyDAI+yUSDC+yUSDT+yTUSD-WETH ,True,False
pnkweth_uniswap,0x343fd171caf4f0287ae6b87d75a8964dc44516ab,pnkweth_sushiswap,0xef4f1d5007b4ff88c1a56261fec00264af6001fb,PNK,True,False
creamweth_uniswap,0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,creamweth_sushiswap,0xf169cea51eb51774cf107c88309717dda20be167,CREAM,True,False
