blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265433,1605482717,1605482722,3.1422784328460693,3.145404815673828,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265434,1605482721,1605482727,1.3072779178619385,1.3099370002746582,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265435,1605482726,1605482743,0.4946761131286621,0.4981381893157959,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265436,1605482741,1605482769,0.4986562728881836,0.501878023147583,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265437,1605482768,1605482774,0.5110552310943604,0.5187244415283203,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265438,1605482774,1605482794,0.4896581172943115,0.49360227584838867,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265439,1605482793,1605482852,0.4983692169189453,0.5018079280853271,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265440,1605482851,1605482864,0.49425292015075684,0.49779200553894043,False,infura,EmptySet,
blockNumber,blockTimestamp,receivingTime,oppProcessingTime,wholeProcessingTime,opportunityFound,providerName,opportunity,byteload
11265441,1605482862,1605482875,0.5078246593475342,0.5111870765686035,False,infura,EmptySet,
