blockNumber,blockTimestamp,timeLeft,epoch,tmDiff,oppDetected
11017962,1602201527,73,105,0.057414770126343,False
11017963,1602201530,70,105,1.28746032714844E-05,False
11017964,1602201605,-5,105,0.310366153717041,True
11017965,1602201608,28792,106,0.0459303855896,False
11020042,1602230373,27,106,1.35898590087891E-05,False
11020043,1602230382,18,106,1.31130218505859E-05,False
11020044,1602230408,-8,106,0.320321559906006,True
11020045,1602230410,28790,107,0.055492401123047,False
11022204,1602259197,3,107,0.356986999511719,True
11022205,1602259210,-10,107,0.337520122528076,True
11022206,1602259218,-18,107,0.300811529159546,True
11022207,1602259235,28765,108,0.054649353027344,False
11024339,1602287949,51,108,8.82148742675781E-06,False
11024340,1602287955,45,108,1.23977661132813E-05,False
11024341,1602287967,33,108,1.40666961669922E-05,False
11024342,1602288038,28762,109,0.05591344833374,False
11026521,1602316765,35,109,1.43051147460938E-05,False
11026522,1602316779,21,109,1.40666961669922E-05,False
11026523,1602316787,13,109,0.241492986679077,True
11026524,1602316813,28787,110,0.046101570129395,False
11028627,1602345580,20,110,1.28746032714844E-05,False
11028628,1602345581,19,110,1.28746032714844E-05,False
11028629,1602345599,1,110,0.237639904022217,True
11028630,1602345610,28790,111,0.055064678192139,False
11030848,1602374373,27,111,2.19345092773437E-05,False
11030849,1602374378,22,111,1.35898590087891E-05,False
11030850,1602374399,1,111,0.199079513549805,True
11030851,1602374421,28779,112,0.045905590057373,False
11032977,1602403179,21,112,4.29153442382813E-06,False
11032978,1602403189,11,112,0.248670339584351,True
11032979,1602403223,-23,112,0.279845237731934,True
11032980,1602403225,28775,113,0.055669784545899,False
11035154,1602431928,72,113,1.26361846923828E-05,False
11035155,1602431938,62,113,3.814697265625E-06,False
11035156,1602431996,4,113,0.224005937576294,True
11035157,1602432015,28785,114,0.055135726928711,False
11037417,1602460744,56,114,1.40666961669922E-05,False
11037418,1602460771,29,114,7.39097595214844E-06,False
11037419,1602460772,28,114,4.05311584472656E-06,False
11037420,1602460850,28750,115,0.047757625579834,False
11039557,1602489570,30,115,1.12056732177734E-05,False
11039558,1602489579,21,115,1.23977661132813E-05,False
11039559,1602489611,-11,115,0.231456995010376,True
11039560,1602489613,28787,116,0.046664714813233,False
11041715,1602518363,37,116,4.76837158203125E-06,False
11041716,1602518382,18,116,5.24520874023438E-06,False
11041717,1602518383,17,116,5.7220458984375E-06,False
11041718,1602518431,28769,117,0.048640727996826,False
11043874,1602547159,41,117,3.57627868652344E-06,False
11043875,1602547163,37,117,7.86781311035156E-06,False
11043876,1602547173,27,117,1.19209289550781E-05,False
11043877,1602547209,28791,118,0.055552482604981,False
11046085,1602575947,53,118,8.82148742675781E-06,False
11046086,1602575957,43,118,4.29153442382813E-06,False
11046087,1602575997,3,118,0.179768562316895,True
11046088,1602576021,28779,119,0.055251359939575,False
11048240,1602604770,30,119,1.23977661132813E-05,False
11048241,1602604773,27,119,1.21593475341797E-05,False
11048242,1602604798,2,119,0.247485160827637,True
11048243,1602604806,28794,120,0.054257392883301,False
11050448,1602633571,29,120,4.05311584472656E-06,False
11050449,1602633575,25,120,1.33514404296875E-05,False
11050450,1602633597,3,120,0.174893856048584,True
11050451,1602633612,28788,121,0.05543065071106,False
11052604,1602662378,22,121,1.1444091796875E-05,False
11052605,1602662382,18,121,1.54972076416016E-05,False
11052606,1602662384,16,121,1.31130218505859E-05,False
11052607,1602662400,0,121,0.21441912651062,True
11054758,1602691120,80,122,0.046339273452759,False
11054759,1602691133,67,122,4.52995300292969E-06,False
11054760,1602691161,39,122,5.00679016113281E-06,False
11054761,1602691236,28764,123,0.29961085319519,False
11056987,1602719985,15,123,6.91413879394531E-06,False
11056988,1602719986,14,123,0.202296495437622,True
11056989,1602720000,0,123,0.273646831512451,True
11056990,1602720005,28795,124,0.055063724517822,False
11059151,1602748768,32,124,1.38282775878906E-05,False
